Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
FRA;FRA000151340;MOD;20090724;21001231;Y;151340;NI 151340;COMETE;NI;NICE;Y;FGG4166;N;GNS;GTR;7.50;;1.76;1.76;3.78;;33.00;0.00;1;1975;6;5;MFL;;;;;;1930;||FRANCE;
FRA;FRA000151550;MOD;20040101;21001231;Y;151550;NI 151550;PATKRIS;NI;NICE;Y;FQ2221;N;GNS;GTR;7.50;;2.74;2.74;4.60;;46.00;0.00;1;1983;7;8;MFL;;;;;;1973;FRANCE;
FRA;FRA000151638;MOD;20090213;20170705;Y;151638;NI 151638;JEREMY;NI;NICE;Y;FGG3759;N;GNS;GTR;6.89;;1.09;1.09;1.77;;33.00;0.00;1;1985;7;15;MFL;;;;;;1956;FRANCE;
FRA;FRA000152947;MOD;20140306;20170910;Y;152947;CN 152947;ARTIMON;CN;CAEN;N;;Y;OTM;OTB;15.98;15.28;42.68;42.68;33.60;;256.00;0.00;1;1975;6;16;MFL;;;;;;1972;||FRANCE;
FRA;FRA000153384;CHA;20161027;21001231;Y;153384;ST 153384;CHEYENNE;ST;SÉTE;N;;N;PS;GTR;7.90;;4.23;4.23;6.98;;147.00;0.00;3;2016;10;27;MFL;;;;;;1968;||FRANCE;
FRA;FRA000153464;MOD;20151022;20180228;Y;153464;TL 153464;CIGALON;TL;TOULON;N;;N;GTR;LLS;6.00;;1.43;1.43;1.90;;23.00;0.00;1;1977;12;13;MFL;;;;;;1958;||FRANCE;
FRA;FRA000153893;MOD;20121129;20170511;Y;153893;PV 153893;GREMEDDIM;PV;PORT VENDRES;Y;FGD9123;N;GNS;LLS;9.77;;3.34;3.34;3.79;;121.00;0.00;3;2004;6;18;MFL;;;;;;1967;||FRANCE;
FRA;FRA000155922;MOD;20111206;20170920;Y;155922;BR 155922;ASTA BUEN;BR;BREST;Y;FO8479;N;DRB;LLS;9.50;;10.60;10.60;9.98;;106.00;0.00;1;1975;11;3;MFL;;;;;;1972;||FRANCE;
FRA;FRA000156474;MOD;20090622;21001231;Y;156474;BR 156474;AR BEG;BR;BREST;Y;FG9659;N;FPO;GNS;6.82;;2.40;2.40;3.21;;22.00;0.00;1;1975;11;4;MFL;;;;;;1972;||FRANCE;
FRA;FRA000156633;MOD;20131009;21001231;Y;156633;PL 156633;L'ALIZE 2;PL;PAIMPOL;Y;FS2358;N;DRB;FPO;8.95;;6.04;6.04;7.09;;87.00;0.00;1;1975;11;3;MFL;;;;;;1973;TANGUY|DOUARNENEZ|FRANCE;
FRA;FRA000156675;MOD;20090625;20171210;Y;156675;BR 156675;TRISKEL;BR;BREST;Y;FS2802;N;DRB;GNS;8.20;;5.91;5.91;6.66;;54.00;0.00;1;1975;12;10;MFL;;;;;;1972;||FRANCE;
FRA;FRA000157155;MOD;20160428;20170420;Y;157155;PL 157155;LA PALOMA;PL;PAIMPOL;Y;FS9975;N;DRB;OTB;10.91;;9.37;9.37;9.30;;140.00;0.00;1;1975;11;4;MFL;;;;;;1972;||FRANCE;
FRA;FRA000157247;MOD;20160826;20171026;Y;157247;SN 157247;LA BELLE BRISE;SN;SAINT-NAZAIRE;Y;FP4794;N;GTR;FPO;7.41;;3.59;3.59;4.04;;65.00;0.00;1;1975;11;4;MFL;;;;;;1974;RIOU|PLOUGUERNEAU (29)|FRANCE;
FRA;FRA000160019;MOD;20100805;21001231;Y;160019;ST 160019;FANOU;ST;SÉTE;Y;FGG7427;N;GNS;GTR;6.55;;1.45;1.45;2.40;;17.00;0.00;3;1975;10;10;MFL;;;;;;1972;||FRANCE;
FRA;FRA000160035;MOD;20160928;21001231;Y;160035;MA 160035;MARJORIE ARTHUR;MA;MARSEILLE;Y;FZCQ;Y;PS;LLD;21.47;19.00;49.79;49.79;48.02;;316.00;0.00;3;1975;10;13;MFL;;;;;;1972;||FRANCE;
FRA;FRA000160038;MOD;20160119;21001231;Y;160038;ST 160038;JADE III;ST;SÉTE;N;;N;GNS;FPO;5.90;;1.03;1.03;1.99;;29.00;0.00;3;1975;10;13;MFL;;;;;;1968;||FRANCE;
FRA;FRA000160048;MOD;20090728;21001231;Y;160048;ST 160048;YA FA SA;ST;SÉTE;N;;N;GNS;GNS;5.80;;0.63;0.63;1.98;;29.00;0.00;3;1975;10;13;MFL;;;;;;1972;||FRANCE;
FRA;FRA000160084;MOD;20160912;21001231;Y;160084;VA 160084;YAGA;VA;VANNES;Y;FAB5260;N;LLS;NO;5.80;;1.01;1.01;1.98;;29.00;0.00;3;1975;10;13;MFL;;;;;;1972;||FRANCE;
FRA;FRA000160087;MOD;20070322;21001231;Y;160087;ST 160087;SULTAN 2;ST;SÉTE;N;;N;GNS;GTR;6.30;;0.74;0.74;1.45;;29.00;0.00;3;1975;10;14;MFL;;;;;;1972;FRANCE;
FRA;FRA000160929;MOD;20170101;21001231;Y;160929;ST 160929;KIKKO;ST;SÉTE;N;;N;GNS;NO;6.10;;1.26;1.26;1.98;;44.00;0.00;3;1978;6;8;MFL;;;;;;1971;|INCONNU|FRANCE;
FRA;FRA000161816;MOD;20150428;21001231;Y;161816;ST 161816;FLODA;ST;SÉTE;N;;N;GTN;NO;5.37;;0.55;0.55;1.48;;14.00;0.00;3;1975;10;15;MFL;;;;;;1969;||FRANCE;
FRA;FRA000161822;MOD;20040101;20170327;Y;161822;TL 161822;SEBASTIEN;TL;TOULON;N;;N;GNS;GTR;5.50;;0.78;0.78;1.32;;5.00;0.00;3;1975;10;15;MFL;;;;;;1973;FRANCE;
FRA;FRA000161824;MOD;20141016;21001231;Y;161824;PV 161824;JOANETTE;PV;PORT VENDRES;N;;N;LLS;GNS;5.37;;0.60;0.60;1.48;;18.00;0.00;3;1975;10;15;MFL;;;;;;1972;BUONO MO|MEZE 34|FRANCE;
FRA;FRA000161831;MOD;20040119;21001231;Y;161831;ST 161831;VISTRE II;ST;SÉTE;N;;N;GNS;LLS;5.59;;0.57;0.57;1.48;;22.00;0.00;3;1975;10;20;MFL;;;;;;1973;FRANCE;
FRA;FRA000161837;MOD;20140528;21001231;Y;161837;TL 161837;TI'MATIN;TL;TOULON;Y;FAB4136;N;GNS;GTR;6.20;;0.68;0.68;1.99;;14.00;0.00;3;1975;10;15;MFL;;;;;;1971;||FRANCE;
FRA;FRA000161840;MOD;20140512;21001231;Y;161840;ST 161840;LE BOUDDHA;ST;SÉTE;N;;N;LLS;GNS;5.00;;0.86;0.86;1.39;;7.00;0.00;3;1975;10;15;MFL;;;;;;1972;||FRANCE;
FRA;FRA000161852;CHA;20050317;21001231;Y;161852;ST 161852;CELIFER II;ST;SÉTE;N;;N;GNS;LLS;5.65;;0.90;0.90;1.44;;36.00;0.00;3;1975;10;15;MFL;;;;;;1973;DASI|SETE|FRANCE;
FRA;FRA000161859;MOD;20110614;20180523;Y;161859;PV 161859;LILOU;PV;PORT VENDRES;N;;N;GNS;LLS;5.42;;1.10;1.10;1.70;;29.00;0.00;3;1975;10;15;MFL;;;;;;1973;||FRANCE;
FRA;FRA000161879;MOD;20090818;21001231;Y;161879;ST 161879;MARADJA;ST;SÉTE;N;;N;LLS;GNS;6.30;;0.74;0.74;1.45;;55.00;0.00;3;1975;10;15;MFL;;;;;;1973;||FRANCE;
FRA;FRA000161887;MOD;20041215;21001231;Y;161887;ST 161887;TITOLE;ST;SÉTE;N;;N;LLS;GNS;5.55;;0.85;0.85;1.13;;29.00;0.00;3;1980;7;4;MFL;;;;;;1973;FRANCE;
FRA;FRA000161891;MOD;20140512;21001231;Y;161891;ST 161891;ANITA;ST;SÉTE;Y;FGA8667;N;GNS;GTR;5.00;;1.20;1.20;1.87;;29.00;0.00;1;1983;6;20;MFL;;;;;;1965;||FRANCE;
FRA;FRA000162395;MOD;20160530;20170309;Y;162395;CN 162395;ANGELUS DE LA MER;CN;CAEN;Y;FJ2735;Y;OTB;DRB;12.52;11.27;24.45;24.45;20.64;;250.00;0.00;1;1975;6;18;MFL;;;;;;1972;||FRANCE;
FRA;FRA000162412;MOD;20100819;21001231;Y;162412;CH 162412;DAUPHIN;CH;CHERBOURG;Y;FS7159;Y;DRB;OTB;11.07;;14.22;14.22;15.15;;132.00;0.00;1;1975;6;18;MFL;;;;;;1972;||FRANCE;
FRA;FRA000162439;MOD;20060124;21001231;Y;162439;MX 162439;MARY MORGANE;MX;MORLAIX;Y;FT2623;N;DRB;FPO;10.00;;10.89;10.89;9.98;;107.00;0.00;1;1975;6;18;MFL;;;;;;1972;FRANCE;
FRA;FRA000164008;MOD;20161118;21001231;Y;164008;BI 164008;ATHENA;BI;BASTIA;Y;FT4448;N;GTR;NO;7.40;;2.53;2.53;3.40;;33.00;0.00;1;1976;1;22;MFL;;;;;;1973;||FRANCE;
FRA;FRA000164063;MOD;20151214;21001231;Y;164063;BI 164063;ST FRANCOIS;BI;BASTIA;Y;FI6774;N;GTR;LLS;6.40;;3.98;3.98;5.38;;59.00;0.00;3;2002;4;2;MFL;;;;;;1963;||ITALIE;
FRA;FRA000164088;MOD;20141203;21001231;Y;164088;BI 164088;LE PETIT SAINT CHRISTOPHE;BI;BASTIA;N;;N;GTR;NO;4.00;;0.50;0.50;0.98;;7.00;0.00;3;2002;10;29;MFL;;;;;;1967;||FRANCE;
FRA;FRA000164157;MOD;20141202;20171022;Y;164157;AJ 164157;U CARDI;AJ;AJACCIO;Y;FT6653;Y;GTR;LLD;14.04;14.00;16.61;16.61;16.61;;110.00;0.00;1;1976;1;26;MFL;;;;;;1957;||FRANCE;
FRA;FRA000167301;MOD;20120423;20170917;Y;167301;PL 167301;L'ESPERANCE 2;PL;PAIMPOL;N;;N;DRB;OTB;11.63;;11.30;11.30;9.94;;127.00;0.00;1;1975;8;13;MFL;;;;;;1973;||FRANCE;
FRA;FRA000169778;MOD;20100805;21001231;Y;169778;CN 169778;AQUILON;CN;CAEN;Y;FP8413;N;OTB;DRB;8.50;;5.12;5.12;6.38;;58.00;0.00;1;1975;6;5;MFL;;;;;;1973;||FRANCE;
FRA;FRA000172311;MOD;20071026;20170328;Y;172311;TL 172311;VITTORIA;TL;TOULON;Y;FQ6213;N;GNS;GTR;7.66;;2.07;2.07;3.89;;33.00;0.00;1;1986;7;10;MFL;;;;;;1957;FRANCE;
FRA;FRA000172499;MOD;20061117;21001231;Y;172499;MT 172499;MARIE-PAUL;MT;MARTIGUES;Y;FGE8749;N;GNS;LLS;6.92;;0.65;0.65;2.66;;22.00;0.00;1;1924;3;3;MFL;;;;;;1924;FRANCE;
FRA;FRA000172514;MOD;20120312;20171016;Y;172514;MA 172514;LE DAUPHIN;MA;MARSEILLE;Y;FO2685;N;GNS;GTR;11.93;;12.90;12.90;9.31;;160.00;0.00;3;1975;7;7;MFL;;;;;;1973;||FRANCE;
FRA;FRA000172529;MOD;20090604;21001231;Y;172529;MA 172529;VILLE D ARZEW;MA;MARSEILLE;Y;FI4313;Y;LA;NO;19.65;18.40;40.00;40.00;39.57;;316.00;0.00;1;1975;9;30;MFL;;;;;;1973;||FRANCE;
FRA;FRA000173595;MOD;20040101;21001231;Y;173595;VA 173595;MA BRUNETTE;VA;VANNES;Y;FT4978;N;FPO;GNS;9.70;;6.54;6.54;5.70;;62.00;0.00;1;1975;11;28;MFL;;;;;;1972;FRANCE;
FRA;FRA000174474;MOD;20041119;21001231;Y;174474;MN 174474;MAYFLOWERS;MN;MARENNES;Y;FS9937;N;PTM;OTM;9.70;;3.00;3.00;5.19;;70.00;0.00;1;1975;8;28;MFL;;;;;;1973;FRANCE;
FRA;FRA000174562;MOD;20040101;21001231;Y;174562;MN 174562;FIFITOU;MN;MARENNES;N;;N;GND;NO;6.02;;2.00;2.00;2.37;;18.00;0.00;3;1975;9;5;MFL;;;;;;1972;FRANCE;
FRA;FRA000174694;MOD;20050301;21001231;Y;174694;BX 174694;L'ENGOULEVENT;BX;BORDEAUX;Y;FGD8540;N;GND;FPO;8.34;;5.30;5.30;4.25;;25.00;0.00;1;1975;10;7;MFL;;;;;;1973;FRANCE;
